match_id,player_id,player_name,team,is_confirmed_starter,expected_minutes,tactical_role_override,playing_position_today
che_mun_mw34,alejandro_garnacho,Alejandro Garnacho,Chelsea,True,90,,WF_wide
che_mun_mw34,amad_diallo,Amad Diallo,Man Utd,True,90,,WF_inside
che_mun_mw34,andrey_santos,Andrey Santos,Chelsea,True,90,,CM_deep
che_mun_mw34,ayden_heaven,Ayden Heaven,Man Utd,True,90,,CB_defensive
che_mun_mw34,benjamin_sesko,Benjamin Sesko,Man Utd,True,90,,CF
che_mun_mw34,benoit_badiashile,Benoit Badiashile,Chelsea,True,90,,CB_defensive
che_mun_mw34,bruno_fernandes,Bruno Fernandes,Man Utd,True,90,,AM
che_mun_mw34,bryan_mbeumo,Bryan Mbeumo,Man Utd,True,90,,WF_inside
che_mun_mw34,casemiro,Casemiro,Man Utd,True,90,,DM
che_mun_mw34,cole_palmer,Cole Palmer,Chelsea,True,90,,AM
che_mun_mw34,dario_essugo,Dario Essugo,Chelsea,True,90,,CM_deep
che_mun_mw34,diogo_dalot,Diogo Dalot,Man Utd,True,90,,FB_attacking
che_mun_mw34,enzo_fernandez,Enzo Fernandez,Chelsea,True,90,,CM_box
che_mun_mw34,estevao,Estevao,Chelsea,True,90,,WF_inside
che_mun_mw34,harry_maguire,Harry Maguire,Man Utd,True,90,,CB_aerial
che_mun_mw34,joao_pedro,Joao Pedro,Chelsea,True,90,,CF
che_mun_mw34,jorrel_hato,Jorrel Hato,Chelsea,True,90,,FB_defensive
che_mun_mw34,josh_acheampong,Josh Acheampong,Chelsea,True,90,,FB_attacking
che_mun_mw34,joshua_zirkzee,Joshua Zirkzee,Man Utd,True,90,,SS
che_mun_mw34,kobbie_mainoo,Kobbie Mainoo,Man Utd,True,90,,CM_box
che_mun_mw34,leny_yoro,Leny Yoro,Man Utd,True,90,,CB_defensive
che_mun_mw34,liam_delap,Liam Delap,Chelsea,True,90,,CF
che_mun_mw34,luke_shaw,Luke Shaw,Man Utd,True,90,,FB_attacking
che_mun_mw34,malo_gusto,Malo Gusto,Chelsea,True,90,,FB_attacking
che_mun_mw34,mamadou_sarr,Mamadou Sarr,Chelsea,True,90,,CB_defensive
che_mun_mw34,manuel_ugarte,Manuel Ugarte,Man Utd,True,90,,DM
che_mun_mw34,marc_cucurella,Marc Cucurella,Chelsea,True,90,,FB_defensive
che_mun_mw34,marc_guiu,Marc Guiu,Chelsea,True,90,,CF
che_mun_mw34,mason_mount,Mason Mount,Man Utd,True,90,,AM
che_mun_mw34,matheus_cunha,Matheus Cunha,Man Utd,True,90,,SS
che_mun_mw34,moises_caicedo,Moises Caicedo,Chelsea,True,90,,DM
che_mun_mw34,noussair_mazraoui,Noussair Mazraoui,Man Utd,True,90,,FB_attacking
che_mun_mw34,pedro_neto,Pedro Neto,Chelsea,True,90,,WF_inside
che_mun_mw34,reece_james,Reece James,Chelsea,True,90,,FB_attacking
che_mun_mw34,romeo_lavia,Romeo Lavia,Chelsea,True,90,,CM_deep
che_mun_mw34,shea_lacey,Shea Lacey,Man Utd,True,90,,WF_wide
che_mun_mw34,tosin_adarabioyo,Tosin Adarabioyo,Chelsea,True,90,,CB_defensive
che_mun_mw34,trevoh_chalobah,Trevoh Chalobah,Chelsea,True,90,,CB_defensive
che_mun_mw34,tyler_fredricson,Tyler Fredricson,Man Utd,True,90,,CB_defensive
che_mun_mw34,tyrell_malacia,Tyrell Malacia,Man Utd,True,90,,FB_defensive
che_mun_mw34,wesley_fofana,Wesley Fofana,Chelsea,True,90,,CB_defensive
