match_id,matchweek,player_id,player_name,team,actual_shots,actual_sot,minutes_played,did_start
BT_M01_1,1,P_BT1,Harry Kane,TeamA,5,2,90,True
BT_M01_1,1,P_BT2,Mo Salah,TeamA,3,1,90,True
BT_M01_1,1,P_BT3,Erling Haaland,TeamB,6,3,90,True
BT_M01_1,1,P_BT4,Kevin De Bruyne,TeamB,2,1,90,True
BT_M01_2,1,P_BT5,Son Heung-min,TeamC,4,2,90,True
BT_M01_2,1,P_BT6,Bukayo Saka,TeamC,3,1,90,True
BT_M01_2,1,P_BT7,James Tarkowski,TeamD,1,0,90,True
BT_M01_2,1,P_BT8,Declan Rice,TeamD,2,1,90,True
BT_M02_1,2,P_BT3,Erling Haaland,TeamB,5,2,90,True
BT_M02_1,2,P_BT4,Kevin De Bruyne,TeamB,1,0,90,True
BT_M02_1,2,P_BT1,Harry Kane,TeamA,4,1,90,True
BT_M02_1,2,P_BT2,Mo Salah,TeamA,4,2,90,True
BT_M02_2,2,P_BT7,James Tarkowski,TeamD,0,0,90,True
BT_M02_2,2,P_BT8,Declan Rice,TeamD,1,0,90,True
BT_M02_2,2,P_BT5,Son Heung-min,TeamC,3,1,90,True
BT_M02_2,2,P_BT6,Bukayo Saka,TeamC,2,1,90,True
BT_M03_1,3,P_BT1,Harry Kane,TeamA,6,3,90,True
BT_M03_1,3,P_BT2,Mo Salah,TeamA,3,1,90,True
BT_M03_1,3,P_BT5,Son Heung-min,TeamC,5,2,90,True
BT_M03_1,3,P_BT6,Bukayo Saka,TeamC,4,2,90,True
BT_M03_2,3,P_BT3,Erling Haaland,TeamB,7,3,90,True
BT_M03_2,3,P_BT4,Kevin De Bruyne,TeamB,3,1,90,True
BT_M03_2,3,P_BT7,James Tarkowski,TeamD,0,0,0,False
BT_M03_2,3,P_BT8,Declan Rice,TeamD,2,1,90,True
BT_M04_1,4,P_BT5,Son Heung-min,TeamC,2,1,90,True
BT_M04_1,4,P_BT6,Bukayo Saka,TeamC,3,1,90,True
BT_M04_1,4,P_BT1,Harry Kane,TeamA,3,1,90,True
BT_M04_1,4,P_BT2,Mo Salah,TeamA,5,2,90,True
BT_M04_2,4,P_BT7,James Tarkowski,TeamD,0,0,90,True
BT_M04_2,4,P_BT8,Declan Rice,TeamD,0,0,0,False
BT_M04_2,4,P_BT3,Erling Haaland,TeamB,4,2,90,True
BT_M04_2,4,P_BT4,Kevin De Bruyne,TeamB,2,1,90,True
BT_M05_1,5,P_BT1,Harry Kane,TeamA,5,2,90,True
BT_M05_1,5,P_BT2,Mo Salah,TeamA,2,1,90,True
